Rank,Title,Studio,Worldwide,Domestic,Domestic.Perc,Overseas,Overseas.Perc,Year
1,Avatar,Fox,2788,760.5,27.3,2027.5,72.7,2009
2,Titanic,Par.,2187.5,659.4,30.1,1528.1,69.9,1997
3,Star Wars: The Force Awakens,BV,2068.2,936.7,45.3,1131.6,54.7,2015
4,Avengers: Infinity War,BV,2046.7,678.8,33.2,1367.9,66.8,2018
5,Jurassic World,Uni.,1671.7,652.3,39,1019.4,61,2015
6,Marvel's The Avengers,BV,1518.8,623.4,41,895.5,59,2012
7,Furious 7,Uni.,1516,353,23.3,1163,76.7,2015
8,Avengers: Age of Ultron,BV,1405.4,459,32.7,946.4,67.3,2015
9,Black Panther,BV,1346.9,700.1,52,646.9,48,2018
10,Harry Potter and the Deathly Hallows Part 2,WB,1341.5,381,28.4,960.5,71.6,2011
11,Star Wars: The Last Jedi,BV,1332.5,620.2,46.5,712.4,53.5,2017
12,Jurassic World: Fallen Kingdom,Uni.,1304.9,416.8,31.9,888.2,68.1,2018
13,Frozen,BV,1276.5,400.7,31.4,875.7,68.6,2013
14,Beauty and the Beast (2017),BV,1263.5,504,39.9,759.5,60.1,2017
15,Incredibles 2,BV,1238.4,608.2,49.1,630.3,50.9,2018
16,The Fate of the Furious,Uni.,1236,226,18.3,1010,81.7,2017
17,Iron Man 3,BV,1214.8,409,33.7,805.8,66.3,2013
18,Minions,Uni.,1159.4,336,29,823.4,71,2015
19,Captain America: Civil War,BV,1153.3,408.1,35.4,745.2,64.6,2016
20,Transformers: Dark of the Moon,P/DW,1123.8,352.4,31.4,771.4,68.6,2011
21,The Lord of the Rings: The Return of the King,NL,1119.9,377.8,33.7,742.1,66.3,2003
22,Skyfall,Sony,1108.6,304.4,27.5,804.2,72.5,2012
23,Transformers: Age of Extinction,Par.,1104.1,245.4,22.2,858.6,77.8,2014
24,The Dark Knight Rises,WB,1084.9,448.1,41.3,636.8,58.7,2012
25,Toy Story 3,BV,1067,415,38.9,652,61.1,2010
26,Pirates of the Caribbean: Dead Man's Chest,BV,1066.2,423.3,39.7,642.9,60.3,2006
27,Rogue One: A Star Wars Story,BV,1056.1,532.2,50.4,523.9,49.6,2016
28,Pirates of the Caribbean: On Stranger Tides,BV,1045.7,241.1,23.1,804.6,76.9,2011
29,Despicable Me 3,Uni.,1034.8,264.6,25.6,770.2,74.4,2017
30,Jurassic Park,Uni.,1029.2,402.5,39.1,626.7,60.9,1993
31,Finding Dory,BV,1028.6,486.3,47.3,542.3,52.7,2016
32,Star Wars: Episode I - The Phantom Menace,Fox,1027,474.5,46.2,552.5,53.8,1999
33,Alice in Wonderland (2010),BV,1025.5,334.2,32.6,691.3,67.4,2010
34,Zootopia,BV,1023.8,341.3,33.3,682.5,66.7,2016
35,The Hobbit: An Unexpected Journey,WB (NL),1021.1,303,29.7,718.1,70.3,2012
36,The Dark Knight,WB,1004.6,534.9,53.2,469.7,46.8,2008
37,Harry Potter and the Sorcerer's Stone,WB,974.8,317.6,32.6,657.2,67.4,2001
38,Despicable Me 2,Uni.,970.8,368.1,37.9,602.7,62.1,2013
39,The Lion King,BV,968.5,422.8,43.7,545.7,56.3,1994
40,The Jungle Book (2016),BV,966.6,364,37.7,602.5,62.3,2016
41,Pirates of the Caribbean: At World's End,BV,963.4,309.4,32.1,654,67.9,2007
42,Jumanji: Welcome to the Jungle,Sony,962.1,404.5,42,557.6,58,2017
43,Harry Potter and the Deathly Hallows Part 1,WB,960.3,296,30.8,664.3,69.2,2010
44,The Hobbit: The Desolation of Smaug,WB (NL),958.4,258.4,27,700,73,2013
45,The Hobbit: The Battle of the Five Armies,WB (NL),956,255.1,26.7,700.9,73.3,2014
46,Finding Nemo,BV,940.3,380.8,40.5,559.5,59.5,2003
47,Harry Potter and the Order of the Phoenix,WB,939.9,292,31.1,647.9,68.9,2007
48,Harry Potter and the Half-Blood Prince,WB,934.4,302,32.3,632.5,67.7,2009
49,The Lord of the Rings: The Two Towers,NL,926,342.6,37,583.5,63,2002
50,Shrek 2,DW,919.8,441.2,48,478.6,52,2004
51,Harry Potter and the Goblet of Fire,WB,896.9,290,32.3,606.9,67.7,2005
52,Spider-Man 3,Sony,890.9,336.5,37.8,554.3,62.2,2007
53,Ice Age: Dawn of the Dinosaurs,Fox,886.7,196.6,22.2,690.1,77.8,2009
54,Spectre,Sony,880.7,200.1,22.7,680.6,77.3,2015
55,Spider-Man: Homecoming,Sony,880.2,334.2,38,546,62,2017
56,Harry Potter and the Chamber of Secrets,WB,879,262,29.8,617,70.2,2002
57,Ice Age: Continental Drift,Fox,877.2,161.3,18.4,715.9,81.6,2012
58,The Secret Life of Pets,Uni.,875.5,368.4,42.1,507.1,57.9,2016
59,Batman v Superman: Dawn of Justice,WB,873.6,330.4,37.8,543.3,62.2,2016
60,The Lord of the Rings: The Fellowship of the Ring,NL,871.5,315.5,36.2,556,63.8,2001
61,Wolf Warrior 2,HC,870.3,2.7,0.3,867.6,99.7,2017
62,The Hunger Games: Catching Fire,LGF,865,424.7,49.1,440.3,50.9,2013
63,Guardians of the Galaxy Vol. 2,BV,863.8,389.8,45.1,473.9,54.9,2017
64,Inside Out,BV,857.6,356.5,41.6,501.1,58.4,2015
