"","title","rank","studio","lifetime_gross","year","omdb.Awards","omdb.Genre","omdb.Metascore","omdb.imdbRating"
"1","(500) Days of Summer",2495,"FoxS",32391374,2009,NA,NA,NA,NA
"2","* batteries not included",2455,"Uni.",32945797,1987,NA,NA,NA,NA
"3","...And Justice for All",2438,"Col.",33300000,1979,NA,NA,NA,NA
"4","10",1031,"WB",74865517,1979,NA,NA,NA,NA
"5","10 Cloverfield Lane",1073,"Par.",72082998,2016,NA,NA,NA,NA
"6","10 Things I Hate About You",2152,"BV",38178166,1999,NA,NA,NA,NA
"7","10,000 B.C.",750,"WB",94784201,2008,NA,NA,NA,NA
"8","101 Dalmatians",366,"Dis.",144880014,1961,"Won 1 BAFTA Film Award. Another 2 nominations.","Animation, Adventure, Comedy","N/A","7.2"
"9","101 Dalmatians (1996)",413,"BV",136189294,1996,NA,NA,NA,NA
"10","102 Dalmatians",1181,"BV",66957026,2000,NA,NA,NA,NA
"11","12 Monkeys",1433,"Uni.",57141459,1995,NA,NA,NA,NA
"12","12 Rounds",4335,"Fox",12234694,2009,NA,NA,NA,NA
"13","12 Strong",1827,"WB",45500164,2018,NA,NA,NA,NA
"14","12 Years a Slave",1447,"FoxS",56671993,2013,NA,NA,NA,NA
"15","127 Hours",3565,"FoxS",18335230,2010,NA,NA,NA,NA
"16","13 Going on 30",1430,"SonR",57231747,2004,NA,NA,NA,NA
"17","13 Hours: The Secret Soldiers of Benghazi",1562,"Par.",52853219,2016,NA,NA,NA,NA
"18","1408",1076,"MGM/W",71985628,2007,NA,NA,NA,NA
"19","15 Minutes",3031,"NL",24403552,2001,NA,NA,NA,NA
"20","16 Blocks",2226,"WB",36895141,2006,NA,NA,NA,NA
"21","17 Again",1249,"WB (NL)",64167069,2009,NA,NA,NA,NA
"22","1941",2542,"Uni.",31755742,1979,NA,NA,NA,NA
"23","1984",4884,"Gold.",8430492,1984,NA,NA,NA,NA
"24","2 Days in the Valley",4481,"MGM",11132210,1996,NA,NA,NA,NA
"25","2 Fast 2 Furious",473,"Uni.",127154901,2003,"4 wins & 13 nominations.","Action, Crime, Thriller","38","5.9"
"26","2 Guns",1013,"Uni.",75612460,2013,NA,NA,NA,NA
"27","2001: A Space Odyssey",1387,"MGM",58588800,1968,NA,NA,NA,NA
"28","2010",2039,"MGM",40400657,1984,NA,NA,NA,NA
"29","2012",292,"Sony",166112167,2009,"5 wins & 21 nominations.","Action, Adventure, Sci-Fi","49","5.8"
"30","2016 Obama's America",2426,"RM",33449086,2012,NA,NA,NA,NA
"31","21",923,"Sony",81159365,2008,NA,NA,NA,NA
"32","21 and Over",2926,"Rela.",25682380,2013,NA,NA,NA,NA
"33","21 Grams",3791,"Focus",16290476,2003,NA,NA,NA,NA
"34","21 Jump Street",402,"Sony",138447667,2012,"11 wins & 20 nominations.","Action, Comedy, Crime","69","7.2"
"35","22 Jump Street",210,"Sony",191719337,2014,"7 wins & 24 nominations.","Action, Comedy, Crime","71","7.0"
"36","25th Hour",4213,"BV",13084595,2002,NA,NA,NA,NA
"37","27 Dresses",986,"Fox",76808654,2008,NA,NA,NA,NA
"38","28 Days",2211,"Sony",37170488,2000,NA,NA,NA,NA
"39","28 Days Later",1836,"FoxS",45064915,2003,NA,NA,NA,NA
"40","28 Weeks Later",2738,"FoxA",28638916,2007,NA,NA,NA,NA
"41","3 Days to Kill",2612,"Rela.",30697999,2014,NA,NA,NA,NA
"42","3 Ninjas",2714,"BV",29000301,1992,NA,NA,NA,NA
"43","3 Ninjas Kick Back",4391,"TriS",11798854,1994,NA,NA,NA,NA
"44","3 Strikes",4698,"MGM",9832166,2000,NA,NA,NA,NA
"45","3:10 to Yuma (2007)",1536,"LGF",53606916,2007,NA,NA,NA,NA
"46","30 Days of Night",2081,"Sony",39568996,2007,NA,NA,NA,NA
"47","30 Minutes or Less",2216,"Sony",37053924,2011,NA,NA,NA,NA
"48","300",176,"WB",210614939,2007,"17 wins & 45 nominations.","Action, Fantasy","52","7.7"
"49","300: Rise of An Empire",631,"WB",106580051,2014,NA,NA,NA,NA
"50","3000 Miles to Graceland",3854,"WB",15749959,2001,NA,NA,NA,NA
"51","40 Days and 40 Nights",2167,"Mira.",37950822,2002,NA,NA,NA,NA
"52","42",747,"WB",95020213,2013,NA,NA,NA,NA
"53","47 Meters Down",1871,"ENTMP",44307192,2017,NA,NA,NA,NA
"54","47 Ronin",2139,"Uni.",38362475,2013,NA,NA,NA,NA
"55","48 HRS.",961,"Par.",78868508,1982,NA,NA,NA,NA
"56","50 First Dates",515,"Sony",120908074,2004,NA,NA,NA,NA
"57","50/50",2342,"Sum.",35014192,2011,NA,NA,NA,NA
"58","54",3747,"Mira.",16757163,1998,NA,NA,NA,NA
"59","8 Mile",551,"Uni.",116750901,2002,NA,NA,NA,NA
"60","8 Seconds",3445,"NL",19623396,1994,NA,NA,NA,NA
"61","88 Minutes",3695,"Sony",17213467,2008,NA,NA,NA,NA
"62","8MM",2243,"Sony",36663315,1999,NA,NA,NA,NA
"63","9",2544,"Focus",31749894,2009,NA,NA,NA,NA
"64","9 to 5",655,"Fox",103290500,1980,NA,NA,NA,NA
"65","A Bad Moms Christmas",1070,"STX",72110659,2017,"1 win & 1 nomination.","Adventure, Comedy","42","5.5"
"66","A Beautiful Mind",277,"Uni.",170742341,2001,"Won 4 Oscars. Another 33 wins & 67 nominations.","Biography, Drama","72","8.2"
"67","A Beautiful Planet",3912,"Imax",15250092,2016,NA,NA,NA,NA
"68","A Bridge Too Far",1643,"UA",50750000,1977,NA,NA,NA,NA
"69","A Bronx Tale",3685,"Sav.",17287898,1993,NA,NA,NA,NA
