"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"1","1 Night","2017-02-10","2017-02-09","http://www.nytimes.com/2017/02/09/movies/1-night-review-isabelle-fuhrman.html","",0,"N/A","N/A","N/A","5.8"
"2","100 Streets","2017-01-13","2017-01-12","http://www.nytimes.com/2017/01/12/movies/100-streets-review-idris-elba.html","",0,"N/A","N/A","44","5.7"
"3","11/8/16","2017-11-01","2017-11-02","http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html","",0,"3 nominations.","N/A","62","5.6"
"4","11:55","2017-06-09","2017-06-08","http://www.nytimes.com/2017/06/08/movies/1155-review.html","",0,"2 wins & 2 nominations.","N/A","N/A","4.9"
"5","13 Minutes","2017-06-30","2017-06-29","http://www.nytimes.com/2017/06/29/movies/13-minutes-review.html","R",0,"4 wins & 16 nominations.","$160,450","58","7.0"
"6","1945","2017-11-01","2017-10-31","http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html","",0,"1 win & 4 nominations.","$258,392","75","7.3"
"7","20th Century Women","2017-01-20","2016-12-27","http://www.nytimes.com/2016/12/27/movies/review-20th-century-women.html","R",1,"Nominated for 1 Oscar. Another 12 wins & 67 nominations.","$5,663,854","83","7.4"
"8","32 Pills: My Sister's Suicide","2017-11-29","2017-11-30","http://www.nytimes.com/2017/11/30/movies/32-pills-review.html","",0,"1 win & 1 nomination.","N/A","71","6.5"
"9","4 Days in France","2017-08-01","2017-08-03","http://www.nytimes.com/2017/08/03/movies/four-days-in-france-review.html","",0,"2 nominations.","N/A","73","6.0"
"10","6 Days","2017-08-18","2017-08-17","http://www.nytimes.com/2017/08/17/movies/6-days-review-jamie-bell.html","R",0,"N/A","N/A","36","6.2"
"11","68 Kill","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/68-kill-review.html","",0,"3 wins & 1 nomination.","N/A","56","6.0"
"12","A Bad Moms Christmas","2017-11-01","2017-11-02","http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html","R",0,"1 win & 1 nomination.","$72,080,547","42","5.5"
