"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","review","Sentiment_Score_nyt","genre"
"1","1 Night","2017-02-10","2017-02-09","http://www.nytimes.com/2017/02/09/movies/1-night-review-isabelle-fuhrman.html","",0,"Minhal Baig¡¯s first feature, ¡°1 Night,¡± seems to be merely a sweet but slight romantic study for most of the way, yet a little flourish at the end makes it a much smarter film than it appeared. It also makes you curious to see what this young director will do next.The movie, which Ms. Baig also wrote, looks in on two couples at a hotel on the same night. The younger pair, high school students at their prom, aren¡¯t a couple at all when the story begins, though they have known each other for years. Bea (Isabelle Fuhrman) has been dumped by her date. Andy (Kyle Allen) is indifferently taking pictures for the yearbook. Their mutual prom-night misery brings them together.Their paths occasionally cross with Elizabeth (Anna Camp) and Drew (Justin Chatwin), a couple in their 30s who are wondering if their relationship has hit an endpoint. Of the two pairs, this one is the least well developed, and sometimes the back and forth between Elizabeth and Drew seems to be out of some generic-argument handbook.Ms. Baig, though, does have some place she¡¯s trying to get to, and in short order she arrives there. The journey could be a bit more eventful, but the payoff is charming.",0.993459830434474,"Drama"
"2","100 Streets","2017-01-13","2017-01-12","http://www.nytimes.com/2017/01/12/movies/100-streets-review-idris-elba.html","",0,"Overshadowing Idris Elba, one of the most dynamic actors around, isn¡¯t easy, but two of his cast mates get the better of things in ¡°100 Streets,¡± a converging-narratives film that¡¯s a mix of effective moments and predictable ones.Mr. Elba¡¯s character, Max, is a former rugby star in London whose self-indulgence has led to estrangement from his wife, Emily (Gemma Arterton, in an underwritten role). Their fitful attempts to reconcile grow a bit melodramatic by the end of the film, which was directed by Jim O¡¯Hanlon and written by Leon F. Butler, though Mr. Elba has plenty of gratuitous opportunities to show off his well-toned body.The more compelling story lines belong to Charlie Creed-Miles as George, a mild-mannered cabdriver who seems a magnet for bad luck, and Franz Drameh as Kingsley, a small-time drug dealer with literary aspirations. Mr. Creed-Miles gives his character a convincing sense of being overwhelmed by the world, a defeatism that George¡¯s wife, Kathy (Kierston Wareing), tries to help him overcome. And Mr. Drameh at least sometimes rises above Kingsley¡¯s designated clich¨¦ ¡ª that within every petty criminal there¡¯s a poet waiting to be drawn out (in this case by an aging thespian played by Ken Stott).The threads may not all be original, but they¡¯re kept nicely distinct. Rather than awkwardly intertwining, they merely brush up against one another. It¡¯s a portrait of similar struggles existing in proximity of time and place; of individual battles being fought side by side yet alone.",0.0758906660277966,"Drama"
"3","11/8/16","2017-11-01","2017-11-02","http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html","",0,"Spoiler alerts would be superfluous in a review of ¡°11/8/16¡±: You already know the ending, and you¡¯ve lived through the events. Nevertheless, this documentary generates ample tension as it views the last Election Day through the eyes of more than 16 people, following them during their mornings and afternoons then waiting with them for the results that night.The diverse group includes Anthony, a former prisoner in Alabama, exonerated and voting for the first time in decades; Eric, a coal miner, and his family in West Virginia; Johnny, a union leader in Philadelphia; Calene, a mother of six in Utah who is supporting an independent presidential candidate; and others from California, Ohio and elsewhere.We watch them at barber shops, playgrounds and dinner tables, and hear political opinions that seem prescient or misguided in retrospect. When the polls close, emotions roller coaster as the confident turn frustrated and the uncertain become enthusiastic. Many of these voters¡¯ decisions are based on seemingly incomplete information and broad generalities. Some of their outlooks are na<U+00EF>ve, others inspiring.Eighteen directors are credited with the footage; Jeff Deutchman, who is listed as the curator, previously curated ¡°11/4/08,¡± an examination of that Election Day. The editing here, by Jon Lefkovitz and Martha Shane, sets a speedy pace and keeps the focus on the voters rather than on Clinton and Trump, who are seldom seen. Considering all that¡¯s been written and said over the last year, there¡¯s not much new to learn from ¡°11/8/16.¡± But the film remains engaging for its stories, and is likely to be more instructive in the future, when passions have cooled. Judging by most people here, that won¡¯t be soon.",0.988875392702057,"Documentary"
"4","11:55","2017-06-09","2017-06-08","http://www.nytimes.com/2017/06/08/movies/1155-review.html","",0,"Unfolding over the course of a single, stressful day, ¡°11:55¡± follows Nelson (Victor Almanzar), a young Marine who returns home from Afghanistan to discover that he has simply exchanged one unfinished war for another.Yet this first feature from Ari Issler and Ben Snyder (who both wrote the script with Mr. Almanzar, a military veteran) refuses to revel in violence. Focusing instead on how time and distance can calm the heart and clear the mind, this small, intimate story highlights the relationships that drive Nelson¡¯s response when he¡¯s threatened by the fallout from a long-ago crime. His closest friends, unwilling to disrupt the neighborhood peace, warily decline to take sides in the approaching showdown; his sister (an impassioned Elizabeth Rodriguez) and his girlfriend (Shirley Rumierk) urge him to flee. He has until 11:55 to decide.Filming in the more disheveled sections of Newburgh, N.Y., the directors align Tim Gillis¡¯s softly bruised photography with a hip-swaying soundtrack of Latin, dancehall and reggae. Sincere, sometimes brief performances ¡ª including those of John Leguizamo as a disabled veteran, and Julia Stiles as the bitter wife of Nelson¡¯s nemesis ¡ª lend necessary oomph to a narrative that can, at times, verge on sleepy.No one, however, adds more crackle than Ms. Rodriguez, whose bridling rage against Nelson¡¯s cautious buddies is no less than a howl of exhaustion at lives damaged by drugs, defined by muscle and dominated by male pride.",0.984128120151081,"Crime"
"5","13 Minutes","2017-06-30","2017-06-29","http://www.nytimes.com/2017/06/29/movies/13-minutes-review.html","R",0,"A charming hedonist becomes an unlikely would-be assassin in ¡°13 Minutes,¡± a respectful but labored biopic of a village carpenter whose 1939 plot to blow up the F¨¹hrer was foiled by bad timing.Though ruthlessly romanticized and swimming in Holocaust-drama clich¨¦s ¡ª like the pallidly venomous Nazi interrogator ¡ª the story of how Georg Elser (an endearing Christian Friedel) transformed from mischievous ladies¡¯ man to determined bomb maker is worth the telling. And for a while, it¡¯s even quite gripping as we watch Elser painstakingly plant his intricate device in a vast beer hall in Munich where Hitler is to speak.As directed by Oliver Hirschbiegel, however, Elser¡¯s capture and lengthy questioning by the Gestapo is a wasted opportunity to illuminate the mind of a man whom historical accounts variously describe as apolitical yet deeply concerned with workers¡¯ rights. Bucolic flashbacks to lakeside picnics, where ripe young women vie for Elser¡¯s floppy-haired attentions and accordion serenades, reveal little about his beliefs or ambitions. Neither does his awkward incursion into the dismal marriage of his lover (Katharina Sch¨¹ttler) and her sozzled husband.As it happens, the movie¡¯s most compelling interaction is between Elser and a cautious police chief played by the admirable Burghart Klaussner, who achieves more with pursed lips and lowered eyelids than most actors manage with a page of dialogue. It¡¯s a performance that leaves space for nuanced interpretation ¡ª something that the rest of this overly conventional picture sorely lacks. With a little more shading and originality, ¡°13 Minutes¡± might have pushed beyond its familiar Nazi tropes to shape something more immediate and infinitely more potent: an ominous portrait of radicalization.",0.473756031139937,"Biography"
"6","1945","2017-11-01","2017-10-31","http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html","",0,"The men in hats arrive by train and slowly walk the dusty road toward the village, following the horse-drawn flatbed that carries their cargo. The stationmaster bicycles ahead of them to issue a warning at the watering hole; the residents begin to whisper. It¡¯s the wedding day of the son of the town clerk, who doesn¡¯t want any trouble with elections coming up. The wedding itself seems like a shaky affair, with an uneasy groom and a bride whose previous fianc¨¦ is still hovering.Ferenc Torok¡¯s lean, suggestive Hungarian feature, ¡°1945,¡± shot in gorgeous, high-contrast black-and-white, is a Holocaust film built, consciously or not, on a reversal of the tropes of the western, down to ticking clocks that might as well be nearing high noon. The visiting men in black hats ¡ª a father (Ivan Angelus) and his adult son (Marcell Nagy) ¡ª aren¡¯t villains out for revenge, but Orthodox Jews, who have come to the village at the end of the war. They are transporting trunks said to be filled with perfume or cosmetics. The purpose of their journey is obscure.The two barely speak over the course of the film; the guilty villagers talk among themselves. ¡°We have to give it all back,¡± the town drunk (Jozsef Szarvas) tells the clerk, Istvan (Peter Rudolf), believing that the strangers have a connection to the town¡¯s deported Jews. Dismissing the concern, Istvan nevertheless understands that fear; he played a pivotal role in betraying the local Jews, a sin for which his opiate-addicted wife (Eszter Nagy-Kalozy) holds him in contempt. As the film slowly reveals how the village¡¯s veneer of civility is built over a foundation of treachery, the darkened foregrounds suggest conspirators hiding in plain sight.Absorbing and finely wrought, ¡°1945¡± is not perfect. It oversimplifies Istvan¡¯s motivation for issuing an accusation against a friend. The modernist-style score by Tibor Szemzo is more distracting than atmospheric, especially when it riffs on Max Bruch¡¯s widely used composition for Kol Nidre, a Yom Kippur prayer that seems inappropriate for this particular context. And by design, the movie is something of a tease, more interested in setup than in payoff. The guilt that eats at these characters resists easy closure or absolution.",0.948856258483788,"Drama"
"7","20th Century Women","2017-01-20","2016-12-27","http://www.nytimes.com/2016/12/27/movies/review-20th-century-women.html","R",1,"Love and loss go hand in hand in ¡°20th Century Women,¡± a funny, emotionally piercing story about a teenager and the women who raise him. It opens in 1979, when cool kids danced to Talking Heads (¡°This ain¡¯t no party, this ain¡¯t no disco¡±) and President Carter bummed everyone out talking about our ¡°crisis of confidence.¡± There¡¯s something in the air ¡ª or so it seems, although the California light here tends to blot out the shadows. When a car bursts into flames soon after the movie opens, it looks about as threatening as an art installation. Apocalypse later, man.The car belongs to Dorothea Fields ¡ª a thrilling Annette Bening ¡ª a divorced single mom with an only son, the teenage Jamie (Lucas Jade Zumann, in a heartbreakingly sincere turn). Mother and child live in Santa Barbara, that drowsy, well-heeled coastal city north of Los Angeles. There, Dorothea is raising Jamie in a roomy, stately 1905 fixer-upper that she¡¯s renovating with the help of a boarder, William (Billy Crudup). Another lodger, an artist, Abbie (Greta Gerwig), helps keep their communal life jumping, as does Jamie¡¯s friend Julie (Elle Fanning), who likes to cuddle platonically with him at night, sharing secrets as he tries to keep his hormones and body from betraying him. The writer-director Mike Mills¡¯s last movie, ¡°Beginners,¡± was a lightly comic, fictionalized weepie about his father, who came out of the closet in his mid-70s when his son was an adult. Now Mr. Mills has turned to his mother, in another fictionalized story, moistened with tears, that draws on his life. This time, though, he has turned back the clock for a portrait of his mother as she was when he was a teenager and didn¡¯t yet entirely grasp her extraordinariness. Whether she was as remarkable as the woman onscreen seems entirely beside the point ¡ª ¡°20th Century Women¡± is a memory movie, one in which people are conjured up to bump against the larger world, exuberantly and uneasily. The personal is the political, as second-wave feminists liked to say, and so it is in ¡°20th Century Women.¡± The politics sneak up on you, filtered through the intimate lives of its electrically alive characters. Jamie is the story¡¯s hub, the center from which everything and everyone ostensibly radiates, but Dorothea is its reason for being. She sets the pieces into place and motion; she¡¯s the inspiration and guiding spirit, the story¡¯s balm and soul. She¡¯s also the one who, after Jamie lands in the hospital after a heart-leaping, foolish stunt, enlists Abbie and Julie to help raise Jamie. Dorothea¡¯s a with-it mom, from tousled hair to Birkenstocked toe, but she¡¯s also unsettled by the world.Abbie and Julie assume their responsibilities seriously. Julie, who smokes like a Frenchwoman and reads Judy Blume, shares battle stories and wounds from the sexual front. Abbie gives Jamie records and books, including ¡°Our Bodies, Ourselves,¡± that liberatory classic about women¡¯s health and sexuality. It¡¯s as eye-opening for Jamie as ¡°Sisterhood Is Powerful,¡± the radical feminist anthology that he first opens with almost spiritual reverence ¡ª or is it trepidation? (Later, when he explains the female orgasm to an acquaintance, one of those playground braggarts, the other guy pummels him.) Jamie¡¯s sentimental education is also a kind of encounter session. It¡¯s a witty and loose coalition of like minds, complete with skateboarding, dancing, loving and lived-in talk. A lot of that chatter is humorous ¡ª often gentle and wry, on rare occasion uproarious ¡ª but there¡¯s also a powerful undertow of loss running through the movie. There are sorrows and tragedies, one involving a story thread that allows Ms. Gerwig to root around in grief and a scene in which she uncomfortably, hilariously, clears the room. For her part, Ms. Fanning drifts in and out like a dream (Jamie¡¯s and Mr. Mills¡¯s), a magnificent emissary from that seductive land called Young and Beautiful. You simultaneously see the girl Julie is and the girl that she¡¯s on the verge of leaving behind.For a memoirist, Mr. Mills is uncommonly generous. Abbie, Julie and William, who sexily floats around the periphery (Mr. Crudup is superb at not quite stealing his scenes), are so persuasively detailed that all three could spin off into a separate movie; each has both sting and tenderness nearing grace. Yet these three and even Jamie pale next to Dorothea, who¡¯s satisfyingly complex, especially for a movie mother. Dorothea is at once laid back and uptight, which Ms. Bening conveys with moments of shambling, gestural looseness and sudden emotional spikiness. She floods the screen with warmth, threatens to burn the joint down and, with Mr. Mills, turns contradictions into character. Mr. Mills roots around Dorothea¡¯s unease but never quite figures it or her out, which deepens the movie. People are mysterious and parents are too, partly because you never really catch up to them. So you take stock, stare at family photographs and sift through mementos. Mr. Mills does something similar narratively as he samples the era¡¯s music, signposts and shards, all while circling Dorothea. Fittingly, given the title, in ¡°20th Century Women,¡± he also situates her in history. (The character is named after the photographer Dorothea Lange.) ¡°My mom was born in 1924,¡± Jamie says in voice-over early, as the screen fills with black-and-white footage of period despair. Those ghostly images stick with you, even after the story lightens. Mr. Mills has worked in graphic design and as a music-video director, and while setting up the story he folds in snapshot-like scenes from Jamie and Dorothea¡¯s origin stories, from a ravishing oceanic opening shot to her Depression roots, him as a grasping newborn infant and Gerald Ford stumbling. There¡¯s a kind of restlessness in the way these images pile up, to the movie¡¯s accumulation of album covers, its books, snatches of jazz and glimpses of Humphrey Bogart making love to Ingrid Bergman. It¡¯s as if Mr. Mills were riffling through an encyclopedia, searching for the perfect entry, which he¡¯s creating before your eyes.",0.999906952355292,"Comedy"
"8","32 Pills: My Sister's Suicide","2017-11-29","2017-11-30","http://www.nytimes.com/2017/11/30/movies/32-pills-review.html","",0,"Pivoting on the exceptionally fine line that separates TMI from brave self-revelation, ¡°32 Pills: My Sister¡¯s Suicide¡± is tough viewing. Even by the end, it hasn¡¯t made a good case for its existence. Still, Hope Litoff¡¯s documentary becomes more voyeuristically gripping as it progresses.Ms. Litoff, a film editor, begins by investigating the storage space filled with the belongings of her sister, Ruth, an artist who committed suicide in 2008. Hope wants to find something illuminating, though the prospect that Ruth, who had a long history of mental illness, left some sort of Rosebud is a dubious proposition.Still, ¡°32 Pills¡± makes clear how Ruth¡¯s personality, coupled with her seemingly endless photographs, writings and drawings, created the temptation. The film explores the notion that the sisters were troubled in different ways. And as the excavation continues, predictably ¡ª maybe even subconsciously ¡ª Hope¡¯s own health issues resurface.A recovered alcoholic, Hope shoots chilling video-diary footage of her first drink in 16 years. She pops two pills from a table covered with her sister¡¯s leftover prescription medication bottles. ¡°There¡¯s something about the fact that they¡¯re Ruth¡¯s pills that make them feel more special to me,¡± she says. Her producer, Beth Levison, who is present, expresses alarm about becoming an enabler. The exchange sums up what¡¯s queasily fascinating about ¡°32 Pills.¡± Without Hope¡¯s relapse, the movie would be too personal: something for family, friends and a therapist. But the more Hope¡¯s own obsession grows, the more involving the movie gets, even as it raises ethical questions about its making ¡ª and about those who continue to watch.",0.97985321728132,"Documentary"
"9","4 Days in France","2017-08-01","2017-08-03","http://www.nytimes.com/2017/08/03/movies/four-days-in-france-review.html","",0,"There¡¯s a peculiarly spellbinding quality to ¡°4 Days in France¡± that is partly attributable to its premise. This feature debut of the writer and director J¨¦r<U+00F4>me Reybaud opens with a baby-faced 30-something, Pierre (Pascal Cervo), training a phone flashlight on his lover Paul (Arthur Igual). He then leaves Paul¡¯s Paris apartment and drives an Alfa Romeo into rural France. The fantasy of walking out on your life and aimlessly wandering around can beguile even the most contentedly domesticated among us.Pierre is also looking to quench a thirst. He regularly checks his Grindr app, and at a roadside restroom, scans the stall graffiti and calls a number advertising sex services. He also picks up people along the roadside, not for cruising purposes, but to be of help. The first is a middle-age woman who is booked to sing at a senior home. The characters encountered are a bit more colorful than the ones you are likely to come across in real life, but not so much that they seem overtly allegorical. As Pierre roams, Paul embarks on a quest of his own, traveling to the center of the country to look for his lover via concentric Grindr circles.Some of this story is mildly whimsical, and there are ramps into some kind of magical realism (a blizzard at the French-Italian border is a little far-fetched). There are a lot of shots from behind a car windshield. These are more allied with Vincent Gallo¡¯s ¡°The Brown Bunny¡± than with Monte Hellman¡¯s more lyrical ¡°Two-Lane Blacktop.¡± While Mr. Reybaud has exemplary artistic confidence and an interesting vision, this is a movie that in many ways defines or justifies the ¡°not for everybody¡± critical hedge.",0.538835086087563,"Comedy"
"10","47 Meters Down","2017-06-16","2017-06-15","http://www.nytimes.com/2017/06/15/movies/47-meters-down-review.html","PG-13",0,"Featuring multiple variations of ¡°It¡¯s gonna be fine!¡± and ¡°The shark almost got me!,¡± the superlatively lame dialogue spoken by the heroines of ¡°47 Meters Down¡± ¡ª two sisters who choose the wrong boat for their shark-cage diving expedition in Mexico ¡ª threatens to turn this would-be horror movie into a hoot.In the lulls between bouts of yammering, however, the director, Johannes Roberts, concentrates on building a solid atmosphere of desperation as a winch accident deposits the women unceremoniously on the ocean floor. Captured by Mark Silk¡¯s darting camera, and in water so clouded that the computer-generated predators more than pass visual muster, their misadventures are casually entertaining.Less so are the movie¡¯s slapdash setup and paper-thin characterizations. Lisa (the appealing Mandy Moore), is a recent dumpee who¡¯s eager to prove to her ex that she¡¯s not nearly as boring as he believes. Her younger sister, Kate (Claire Holt), is merely the free spirit who goads Lisa into the water. Above them, an improbably cast Matthew Modine plays the captain of a boat so sketchy looking that it¡¯s a wonder any of his passengers make it back to shore.Shot in gigantic water tanks outside London and in the Dominican Republic, ¡°47 Meters Down¡± ¡ª despite a clever final section ¡ª struggles to extract tension from clamor and agitation. Mr. Roberts should have studied Chris Kentis¡¯s 2004 frightener, ¡°Open Water,¡± which coaxed throat-closing dread from little more than a silent horizon and a diver¡¯s legs waving below the surface like fronds of seaweed. Sometimes it¡¯s scarier when no one can hear you scream.",0.0183625320178499,"Horror"
